contract,method,run_index,instance_same_all_fields,instance_compare_line,raw_result_line
compute,normalCal,13,true,2026-06-15 17:32:31.804	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:dcc6bc83dd454a21966aad395da88a42 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:31.804	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 13 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,14,true,2026-06-15 17:32:31.822	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:13fd32a65e484ec999af89b8a5a8d66e contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:31.822	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 14 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,15,true,2026-06-15 17:32:31.840	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:a5fac8ca439c4b22aecaf30fb36f5ec7 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:31.841	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 15 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,16,true,2026-06-15 17:32:31.859	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:0da7d0cd6a2e4b868f7ba73a30a70de5 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:31.859	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 16 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,17,true,2026-06-15 17:32:31.877	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:fbf652c5a78e46058aa3124aa996ad81 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:31.877	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 17 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,18,true,2026-06-15 17:32:31.895	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:eb98ce1e0f3a4b8399834477669dd567 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:31.895	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 18 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,19,true,2026-06-15 17:32:31.913	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:e15d9d6193cb43d1842616c4d802fabd contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:31.913	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 19 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,20,true,2026-06-15 17:32:31.931	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:9ead40aa4c754385a29522e480edc102 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:31.931	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 20 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,21,true,2026-06-15 17:32:31.950	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:1fc84110acbd40d3b741dd75e6e47fe0 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:31.950	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 21 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,22,true,2026-06-15 17:32:31.972	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:3d0d83c32b574d6c9e2c7bb33317ef63 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:31.972	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 22 contractResult = result:""success normalCal: 666"" gas_used:100000072"
